  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8877   0.00777   0.00376  -0.0510   0.9230   0.0192
  -9.900  -0.8768   0.00769   0.00368  -0.0509   0.9194   0.0197
  -9.800  -0.8657   0.00761   0.00361  -0.0509   0.9179   0.0201
  -9.700  -0.8547   0.00755   0.00355  -0.0509   0.9154   0.0204
  -9.600  -0.8436   0.00748   0.00348  -0.0509   0.9121   0.0207
  -9.500  -0.8326   0.00743   0.00342  -0.0508   0.9078   0.0210
  -9.400  -0.8216   0.00739   0.00337  -0.0508   0.9026   0.0212
  -9.300  -0.8105   0.00734   0.00331  -0.0508   0.8979   0.0214
  -9.200  -0.7993   0.00729   0.00326  -0.0508   0.8957   0.0215
  -9.100  -0.7880   0.00725   0.00321  -0.0508   0.8923   0.0216
  -9.000  -0.7769   0.00721   0.00316  -0.0507   0.8878   0.0217
  -8.900  -0.7658   0.00717   0.00310  -0.0507   0.8822   0.0217
  -8.800  -0.7546   0.00713   0.00305  -0.0507   0.8767   0.0218
  -8.700  -0.7433   0.00709   0.00300  -0.0507   0.8744   0.0218
  -8.600  -0.7320   0.00705   0.00295  -0.0507   0.8705   0.0219
  -8.500  -0.7208   0.00701   0.00290  -0.0507   0.8651   0.0219
  -8.400  -0.7097   0.00698   0.00286  -0.0507   0.8587   0.0219
  -8.300  -0.6984   0.00694   0.00281  -0.0507   0.8546   0.0219
  -8.200  -0.6870   0.00690   0.00276  -0.0507   0.8514   0.0220
  -8.100  -0.6757   0.00687   0.00272  -0.0507   0.8466   0.0220
  -8.000  -0.6645   0.00685   0.00269  -0.0507   0.8406   0.0220
  -7.900  -0.6532   0.00682   0.00264  -0.0507   0.8341   0.0220
  -7.800  -0.6418   0.00678   0.00260  -0.0508   0.8313   0.0220
  -7.700  -0.6305   0.00674   0.00256  -0.0508   0.8271   0.0220
  -7.600  -0.6192   0.00672   0.00251  -0.0508   0.8211   0.0220
  -7.500  -0.6080   0.00669   0.00247  -0.0508   0.8145   0.0221
  -7.400  -0.5965   0.00665   0.00242  -0.0508   0.8110   0.0221
  -7.300  -0.5852   0.00661   0.00238  -0.0508   0.8076   0.0221
  -7.200  -0.5739   0.00657   0.00232  -0.0508   0.8023   0.0224
  -7.100  -0.5627   0.00654   0.00227  -0.0508   0.7958   0.0226
  -7.000  -0.5513   0.00650   0.00221  -0.0509   0.7902   0.0228
  -6.900  -0.5399   0.00645   0.00216  -0.0509   0.7872   0.0230
  -6.800  -0.5286   0.00641   0.00211  -0.0509   0.7826   0.0234
  -6.700  -0.5173   0.00638   0.00206  -0.0509   0.7770   0.0239
  -6.600  -0.5060   0.00634   0.00201  -0.0509   0.7698   0.0246
  -6.500  -0.4946   0.00629   0.00196  -0.0509   0.7670   0.0253
  -6.400  -0.4832   0.00625   0.00192  -0.0509   0.7631   0.0257
  -6.300  -0.4719   0.00622   0.00188  -0.0510   0.7573   0.0260
  -6.200  -0.4606   0.00619   0.00183  -0.0510   0.7501   0.0265
  -6.100  -0.4491   0.00615   0.00179  -0.0510   0.7458   0.0270
  -6.000  -0.4377   0.00611   0.00175  -0.0510   0.7424   0.0273
  -5.900  -0.4263   0.00609   0.00172  -0.0511   0.7374   0.0275
  -5.800  -0.4149   0.00607   0.00169  -0.0511   0.7310   0.0278
  -5.700  -0.4034   0.00605   0.00165  -0.0511   0.7250   0.0279
  -5.600  -0.3919   0.00602   0.00162  -0.0512   0.7221   0.0280
  -5.500  -0.3804   0.00600   0.00159  -0.0512   0.7176   0.0281
  -5.400  -0.3690   0.00599   0.00156  -0.0512   0.7112   0.0281
  -5.300  -0.3575   0.00598   0.00153  -0.0513   0.7038   0.0282
  -5.200  -0.3460   0.00595   0.00150  -0.0513   0.7011   0.0282
  -5.100  -0.3344   0.00593   0.00148  -0.0513   0.6968   0.0282
  -5.000  -0.3230   0.00592   0.00145  -0.0514   0.6907   0.0283
  -4.900  -0.3116   0.00590   0.00141  -0.0514   0.6838   0.0291
  -4.800  -0.3001   0.00587   0.00138  -0.0514   0.6801   0.0299
  -4.700  -0.2886   0.00584   0.00135  -0.0515   0.6759   0.0312
  -4.600  -0.2772   0.00582   0.00132  -0.0515   0.6690   0.0323
  -4.500  -0.2658   0.00580   0.00129  -0.0515   0.6633   0.0332
  -4.400  -0.2544   0.00577   0.00125  -0.0516   0.6576   0.0342
  -4.300  -0.2429   0.00574   0.00123  -0.0516   0.6524   0.0349
  -4.200  -0.2315   0.00573   0.00120  -0.0516   0.6447   0.0357
  -4.000  -0.2087   0.00567   0.00114  -0.0517   0.6336   0.0414
  -3.900  -0.1974   0.00564   0.00111  -0.0517   0.6270   0.0440
  -3.800  -0.1860   0.00563   0.00108  -0.0517   0.6174   0.0470
  -3.700  -0.1747   0.00557   0.00104  -0.0517   0.6126   0.0529
  -3.600  -0.1633   0.00554   0.00101  -0.0517   0.6058   0.0557
  -3.500  -0.1520   0.00555   0.00100  -0.0518   0.5954   0.0583
  -3.400  -0.1406   0.00551   0.00097  -0.0518   0.5911   0.0636
  -3.300  -0.1292   0.00547   0.00094  -0.0518   0.5846   0.0677
  -3.200  -0.1179   0.00548   0.00093  -0.0518   0.5745   0.0692
  -3.100  -0.1063   0.00547   0.00091  -0.0519   0.5702   0.0701
  -3.000  -0.0949   0.00546   0.00089  -0.0519   0.5634   0.0750
  -2.900  -0.0836   0.00545   0.00088  -0.0519   0.5550   0.0793
  -2.800  -0.0721   0.00541   0.00085  -0.0520   0.5500   0.0829
  -2.700  -0.0606   0.00540   0.00084  -0.0520   0.5451   0.0845
  -2.600  -0.0491   0.00541   0.00083  -0.0520   0.5379   0.0853
  -2.500  -0.0376   0.00542   0.00082  -0.0521   0.5294   0.0862
  -2.400  -0.0260   0.00541   0.00081  -0.0521   0.5259   0.0906
