  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     4.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8665   0.00935   0.00504  -0.0551   0.9769   0.0218
  -9.900  -0.8561   0.00929   0.00498  -0.0550   0.9754   0.0219
  -9.800  -0.8458   0.00922   0.00492  -0.0548   0.9733   0.0219
  -9.700  -0.8353   0.00916   0.00485  -0.0546   0.9709   0.0219
  -9.600  -0.8249   0.00910   0.00479  -0.0545   0.9681   0.0220
  -9.500  -0.8144   0.00904   0.00472  -0.0543   0.9653   0.0220
  -9.400  -0.8039   0.00899   0.00466  -0.0541   0.9622   0.0220
  -9.300  -0.7931   0.00893   0.00460  -0.0541   0.9598   0.0221
  -9.200  -0.7824   0.00883   0.00449  -0.0540   0.9581   0.0223
  -9.100  -0.7717   0.00871   0.00436  -0.0539   0.9561   0.0226
  -9.000  -0.7611   0.00861   0.00424  -0.0538   0.9538   0.0230
  -8.900  -0.7505   0.00851   0.00412  -0.0537   0.9512   0.0234
  -8.800  -0.7398   0.00842   0.00403  -0.0535   0.9483   0.0238
  -8.700  -0.7293   0.00834   0.00393  -0.0534   0.9453   0.0242
  -8.600  -0.7186   0.00827   0.00385  -0.0533   0.9418   0.0245
  -8.500  -0.7076   0.00819   0.00377  -0.0532   0.9399   0.0248
  -8.400  -0.6965   0.00811   0.00369  -0.0532   0.9380   0.0251
  -8.300  -0.6855   0.00804   0.00362  -0.0532   0.9356   0.0253
  -8.200  -0.6745   0.00797   0.00355  -0.0531   0.9327   0.0256
  -8.100  -0.6636   0.00791   0.00348  -0.0531   0.9294   0.0258
  -8.000  -0.6527   0.00785   0.00340  -0.0530   0.9258   0.0259
  -7.900  -0.6419   0.00780   0.00334  -0.0529   0.9215   0.0262
  -7.800  -0.6308   0.00774   0.00328  -0.0529   0.9187   0.0264
  -7.700  -0.6195   0.00768   0.00321  -0.0529   0.9163   0.0266
  -7.600  -0.6084   0.00763   0.00315  -0.0528   0.9133   0.0268
  -7.500  -0.5973   0.00757   0.00309  -0.0528   0.9095   0.0270
  -7.400  -0.5863   0.00753   0.00303  -0.0527   0.9054   0.0271
  -7.300  -0.5753   0.00749   0.00297  -0.0527   0.9005   0.0273
  -7.200  -0.5641   0.00744   0.00291  -0.0527   0.8970   0.0275
  -7.100  -0.5528   0.00739   0.00286  -0.0527   0.8940   0.0276
  -7.000  -0.5416   0.00734   0.00280  -0.0526   0.8902   0.0277
  -6.900  -0.5305   0.00730   0.00274  -0.0526   0.8857   0.0278
  -6.800  -0.5194   0.00727   0.00269  -0.0526   0.8806   0.0279
  -6.700  -0.5083   0.00723   0.00264  -0.0525   0.8761   0.0280
  -6.600  -0.4969   0.00719   0.00258  -0.0525   0.8727   0.0281
  -6.500  -0.4856   0.00715   0.00254  -0.0525   0.8685   0.0281
  -6.400  -0.4745   0.00712   0.00249  -0.0525   0.8634   0.0282
  -6.300  -0.4634   0.00709   0.00244  -0.0525   0.8578   0.0282
  -6.200  -0.4521   0.00705   0.00239  -0.0525   0.8539   0.0282
  -6.100  -0.4408   0.00699   0.00231  -0.0525   0.8500   0.0288
  -6.000  -0.4297   0.00693   0.00224  -0.0524   0.8450   0.0296
  -5.900  -0.4186   0.00688   0.00217  -0.0524   0.8391   0.0303
  -5.800  -0.4074   0.00684   0.00211  -0.0523   0.8335   0.0312
  -5.700  -0.3961   0.00678   0.00206  -0.0523   0.8299   0.0320
  -5.600  -0.3848   0.00673   0.00200  -0.0523   0.8253   0.0327
  -5.500  -0.3737   0.00669   0.00195  -0.0523   0.8199   0.0334
  -5.400  -0.3625   0.00666   0.00190  -0.0523   0.8138   0.0339
  -5.300  -0.3511   0.00662   0.00186  -0.0523   0.8100   0.0345
  -5.200  -0.3398   0.00658   0.00182  -0.0523   0.8057   0.0350
  -5.100  -0.3285   0.00655   0.00178  -0.0523   0.8002   0.0354
  -5.000  -0.3172   0.00654   0.00174  -0.0523   0.7938   0.0357
  -4.800  -0.2946   0.00644   0.00164  -0.0523   0.7848   0.0402
  -4.700  -0.2834   0.00639   0.00159  -0.0523   0.7796   0.0426
  -4.600  -0.2722   0.00635   0.00155  -0.0523   0.7737   0.0445
  -4.500  -0.2610   0.00631   0.00150  -0.0523   0.7680   0.0484
  -4.400  -0.2498   0.00623   0.00145  -0.0523   0.7644   0.0534
  -4.300  -0.2385   0.00619   0.00141  -0.0523   0.7593   0.0562
